"Species","Habitat","Historical land use","IndVal.g","p.value"
"Achillea setacea","Dry grasslands","Arable land",0.1723,0.003
"Aesculus hippocastanum","Dry grasslands","Arable land",0.0248,0.97
"Allium sphaerocephalon","Dry grasslands","Arable land",0.1019,0.064
"Allium vineale","Dry grasslands","Arable land",0.0587,0.362
"Anthemis ruthenica","Dry grasslands","Arable land",0.0522,0.46
"Armeria maritima","Dry grasslands","Arable land",0.1389,0.041
"Arnoseris minima","Dry grasslands","Arable land",0.0379,0.478
"Artemisia austriaca","Dry grasslands","Arable land",0.0283,0.894
"Artemisia santonicum","Dry grasslands","Arable land",0.0379,0.456
"Asperula cynanchica","Dry grasslands","Arable land",0.3495,0.001
"Astragalus austriacus","Dry grasslands","Arable land",0.1702,0.007
"Astragalus exscapus","Dry grasslands","Arable land",0.1212,0.021
"Bassia laniflora","Dry grasslands","Arable land",0.0365,0.589
"Brachypodium pinnatum","Dry grasslands","Arable land",0.3037,0.001
"Brachypodium rupestre","Dry grasslands","Arable land",0.0379,0.485
"Campanula rotundifolia","Dry grasslands","Arable land",0.2075,0.001
"Carlina acaulis","Dry grasslands","Arable land",0.2691,0.001
"Caucalis platycarpos","Dry grasslands","Arable land",0.0499,0.531
"Centaurea thuillieri","Dry grasslands","Arable land",0.061,0.399
"Cerastium tomentosum","Dry grasslands","Arable land",0.0379,0.474
"Cerinthe minor","Dry grasslands","Arable land",0.0648,0.323
"Cirsium acaulon","Dry grasslands","Arable land",0.0304,0.833
"Crambe tataria","Dry grasslands","Arable land",0.1455,0.009
"Crataegus rhipidophylla","Dry grasslands","Arable land",0.0379,0.472
"Crepis pannonica","Dry grasslands","Arable land",0.0462,0.388
"Cyanus segetum","Dry grasslands","Arable land",0.0279,0.865
"Cytisus albus","Dry grasslands","Arable land",0.0659,0.217
"Cytisus austriacus","Dry grasslands","Arable land",0.166,0.007
"Cytisus procumbens","Dry grasslands","Arable land",0.1413,0.01
"Cytisus ratisbonensis","Dry grasslands","Arable land",0.2021,0.001
"Dactylorhiza viridis","Dry grasslands","Arable land",0.0379,0.493
"Draba verna aggr.","Dry grasslands","Arable land",0.1534,0.038
"Epipactis atrorubens","Dry grasslands","Arable land",0.0676,0.264
"Erigeron acris","Dry grasslands","Arable land",0.1061,0.057
"Erysimum repandum","Dry grasslands","Arable land",0.0563,0.451
"Euphrasia pectinata","Dry grasslands","Arable land",0.1028,0.031
"Festuca filiformis","Dry grasslands","Arable land",0.0686,0.373
"Festuca stricta subsp. trachyphylla","Dry grasslands","Arable land",0.0783,0.202
"Fragaria viridis","Dry grasslands","Arable land",0.203,0.004
"Galium verum","Dry grasslands","Arable land",0.2827,0.001
"Galium x pomeranicum","Dry grasslands","Arable land",0.042,0.696
"Gentiana cruciata","Dry grasslands","Arable land",0.068,0.256
"Gentiana pannonica","Dry grasslands","Arable land",0.0384,0.844
"Gentianella aspera","Dry grasslands","Arable land",0.0379,0.472
"Gentianella ciliata","Dry grasslands","Arable land",0.0747,0.126
"Helianthemum canum","Dry grasslands","Arable land",0.1163,0.019
"Helictotrichon desertorum","Dry grasslands","Arable land",0.0716,0.258
"Herniaria glabra","Dry grasslands","Arable land",0.0486,0.703
"Hieracium laevigatum","Dry grasslands","Arable land",0.0325,0.861
"Hieracium sabaudum","Dry grasslands","Arable land",0.0842,0.211
"Hirschfeldia incana","Dry grasslands","Arable land",0.0379,0.474
"Hylotelephium telephium","Dry grasslands","Arable land",0.0562,0.434
"Hypericum perforatum","Dry grasslands","Arable land",0.2445,0.001
"Inula conyzae","Dry grasslands","Arable land",0.0803,0.206
"Iris humilis","Dry grasslands","Arable land",0.0838,0.126
"Jacobaea vulgaris","Dry grasslands","Arable land",0.1535,0.007
"Juniperus communis subsp. communis","Dry grasslands","Arable land",0.064,0.378
"Knautia kitaibelii","Dry grasslands","Arable land",0.2307,0.001
"Koeleria glauca","Dry grasslands","Arable land",0.1119,0.012
"Koeleria pyramidata","Dry grasslands","Arable land",0.1959,0.004
"Krascheninnikovia ceratoides","Dry grasslands","Arable land",0.0536,0.206
"Lathyrus hirsutus","Dry grasslands","Arable land",0.0364,0.534
"Lathyrus pannonicus","Dry grasslands","Arable land",0.0854,0.108
"Leopoldia comosa","Dry grasslands","Arable land",0.1256,0.021
"Linum catharticum","Dry grasslands","Arable land",0.2258,0.001
"Marrubium vulgare","Dry grasslands","Arable land",0.0306,0.79
"Medicago prostrata","Dry grasslands","Arable land",0.0718,0.229
"Melilotus albus","Dry grasslands","Arable land",0.0437,0.678
"Minuartia rubra","Dry grasslands","Arable land",0.1074,0.058
