"Habitat","Species","Historical land use","IndVal.g","p.value"
"Dry grasslands","Abies alba","Settlement",0.1319,0.033
"Dry grasslands","Acer campestre","Permanent crop",0.1582,0.051
"Dry grasslands","Acer negundo","Forest",0.068,0.142
"Dry grasslands","Acer platanoides","Settlement",0.1241,0.04
"Dry grasslands","Acer pseudoplatanus","Settlement",0.0942,0.136
"Dry grasslands","Achillea millefolium aggr.","Settlement",0.3997,0.013
"Dry grasslands","Achillea nobilis","Forest",0.1548,0.018
"Dry grasslands","Achillea pannonica","Permanent crop",0.2005,0.631
"Dry grasslands","Achillea setacea","Arable land",0.1723,0.047
"Dry grasslands","Achillea styriaca","Grassland",0.0233,1
"Dry grasslands","Aconitum anthora","Forest",0.1175,0.053
"Dry grasslands","Aconitum lycoctonum","Grassland",0.0233,1
"Dry grasslands","Adonis aestivalis","Grassland",0.0329,0.865
"Dry grasslands","Adonis vernalis","Forest",0.1274,0.542
"Dry grasslands","Aegonychon purpurocaeruleum","Forest",0.1656,0.016
"Dry grasslands","Aegopodium podagraria","Forest",0.0927,0.073
"Dry grasslands","Aesculus hippocastanum","Arable land",0.0317,0.771
"Dry grasslands","Agrimonia eupatoria","Permanent crop",0.3008,0.006
"Dry grasslands","Agropyron cristatum","Permanent crop",0.0343,0.489
"Dry grasslands","Agrostis capillaris","Forest",0.1637,0.234
"Dry grasslands","Agrostis gigantea","Settlement",0.1269,0.042
"Dry grasslands","Agrostis stolonifera","Forest",0.0995,0.136
"Dry grasslands","Agrostis vinealis","Grassland",0.1491,0.454
"Dry grasslands","Ailanthus altissima","Grassland",0.0438,0.574
"Dry grasslands","Aira praecox","Forest",0.0549,0.109
"Dry grasslands","Ajuga chamaepitys","Arable land",0.0731,0.098
"Dry grasslands","Ajuga genevensis","Settlement",0.1461,0.068
"Dry grasslands","Ajuga reptans","Grassland",0.1223,0.138
"Dry grasslands","Alcea biennis","Grassland",0.0329,0.889
"Dry grasslands","Alchemilla glaucescens","Arable land",0.0926,0.118
"Dry grasslands","Alchemilla monticola","Forest",0.0388,0.343
"Dry grasslands","Alchemilla vulgaris aggr.","Arable land",0.0428,0.758
"Dry grasslands","Alchemilla xanthochlora","Grassland",0.0233,1
"Dry grasslands","Alliaria petiolata","Forest",0.1095,0.043
"Dry grasslands","Allium carinatum","Grassland",0.0557,0.509
"Dry grasslands","Allium flavum","Settlement",0.2235,0.151
"Dry grasslands","Allium lusitanicum","Settlement",0.1485,0.461
"Dry grasslands","Allium oleraceum","Forest",0.1305,0.116
"Dry grasslands","Allium rotundum","Grassland",0.0489,0.411
"Dry grasslands","Allium scorodoprasum","Grassland",0.0621,0.747
"Dry grasslands","Allium sphaerocephalon","Arable land",0.1019,0.095
"Dry grasslands","Allium vineale","Arable land",0.0666,0.403
"Dry grasslands","Alnus glutinosa","Arable land",0.0379,0.485
"Dry grasslands","Alopecurus pratensis","Grassland",0.0587,0.806
"Dry grasslands","Alyssum alyssoides","Settlement",0.2352,0.029
"Dry grasslands","Alyssum montanum aggr.","Grassland",0.2592,0.007
"Dry grasslands","Amaranthus hybridus aggr.","Arable land",0.0379,0.467
"Dry grasslands","Amaranthus retroflexus","Arable land",0.0536,0.113
"Dry grasslands","Anacamptis morio","Permanent crop",0.063,0.253
"Dry grasslands","Anacamptis pyramidalis","Grassland",0.0508,0.403
"Dry grasslands","Anagallis arvensis","Forest",0.0436,0.69
"Dry grasslands","Anagallis foemina","Permanent crop",0.041,0.356
"Dry grasslands","Anchusa officinalis","Forest",0.0574,0.166
"Dry grasslands","Androsace elongata","Settlement",0.1413,0.008
