"Species","Disturbance.Severity","Disturbance.Frequency","Grazing.Pressure","Mowing.Frequency","Soil.Disturbance","L","M","N","R","T","RC1","RC2","RC3","RC4"
"Abies alba",0.6958,0.0222,0.1952,0.0036,0.1067,3,6,6,5,5,-2.0522,0.4922,0.5111,-0.7487
"Acer campestre",0.6918,0.0398,0.1964,0.0117,0.1036,5,5,6,7,6,-1.7515,0.3836,0.3272,0.644
"Acer negundo",0.7223,0.4228,0.1811,0.1733,0.2385,6,6,7,7,6,-0.8831,0.7451,0.8887,0.5943
"Acer platanoides",0.6984,0.0461,0.1868,0.0123,0.1124,4,5,6,7,6,-1.9454,0.4987,0.424,0.6062
"Acer pseudoplatanus",0.687,0.0706,0.1834,0.022,0.1129,4,6,7,6,5,-1.8008,0.3962,0.8789,-0.1558
"Achillea aspleniifolia",0.4486,1.6549,0.3235,1.1058,0.1757,8,6,6,7,7,1.6275,-0.9564,0.4334,1.0152
"Achillea millefolium aggr.",0.5414,1.3136,0.2508,0.8112,0.3295,7.5,4.4167,5,5.6667,5,0.9658,0.1668,-0.0428,-0.773
"Achillea nobilis",0.5375,1.0419,0.3314,0.5537,0.1998,8,3,2,8,7,0.2493,-0.3709,-1.4253,1.0278
"Achillea pannonica",0.5173,1.1037,0.3004,0.6058,0.1726,8,3,3,8,7,0.3374,-0.4328,-1.025,1.1415
"Achillea ptarmica",0.5138,1.6023,0.2399,1.0437,0.2185,7,8,4,4,5,1.4579,-0.6279,0.5543,-1.6312
"Achillea setacea",0.5376,1.3218,0.3324,0.6508,0.2103,9,2,2,7,7,0.7295,-0.1716,-1.7703,0.5469
"Achillea styriaca",0.5912,0.1672,0.2028,0.055,0.1364,7,4,4,6,6,-1.1354,0.076,-0.6001,-0.1034
"Aconitum anthora",0.4925,0.4798,0.2389,0.1548,0.1135,7,4,4,7,7,-0.7561,-0.4862,-0.5919,0.8028
"Aconitum lycoctonum",0.6368,0.1163,0.1776,0.0186,0.0984,4,7,7,7,4,-1.7203,-0.151,1.3627,-0.0948
"Aconitum napellus aggr.",0.4652,0.5022,0.1839,0.0922,0.1004,6.5,7,7,6.5,3,-0.6909,-1.0203,1.3399,-0.7457
"Aconitum variegatum",0.5641,0.2967,0.1787,0.0952,0.0943,5,7,7,7,4,-1.2448,-0.5215,1.371,-0.0976
"Acorus calamus",0.2606,1.526,0.1158,0.5395,0.0972,8,10,7,7,6,1.1711,-2.1442,2.3958,0.5241
"Actaea spicata",0.6977,0.029,0.1822,0.0026,0.1016,3,5,7,6,5,-2.1415,0.6015,0.6976,-0.1517
"Adonis aestivalis",0.8239,1.8002,0.1595,0.5836,0.7891,8,3,5,8,7,1.2959,2.8284,-0.0249,0.5436
"Adonis vernalis",0.5052,0.8921,0.324,0.5894,0.1278,8,3,2,8,7,0.1193,-0.6892,-1.3931,1.1046
"Adoxa moschatellina",0.6893,0.0753,0.1814,0.0134,0.1035,4,6,8,7,5,-1.8379,0.3397,1.251,0.4544
"Aegonychon purpurocaeruleum",0.6858,0.0334,0.2072,0.0168,0.1002,5,4,4,8,7,-1.8682,0.3405,-0.386,1.2849
"Aegopodium podagraria",0.6461,0.2569,0.1779,0.1581,0.1559,6,6,8,7,5,-1.0393,0.1969,1.2224,0.4061
"Aesculus hippocastanum",0.7046,0.082,0.1858,0.0274,0.1295,4,5,7,6,6,-1.8382,0.7214,0.5519,0.2399
"Aethusa cynapium",0.8085,1.1077,0.1528,0.4807,0.6939,6,5.3333,7.3333,7,5,0.404,2.3901,1.1324,-0.3377
"Agrimonia eupatoria",0.541,0.8322,0.2419,0.6041,0.193,7,4,4,8,6,0.0077,-0.2919,-0.2314,0.7747
"Agropyron cristatum",0.5114,1.6916,0.3863,0.5543,0.2265,9,2,3,8,8,0.9325,-0.2885,-1.6631,1.5671
"Agrostis canina",0.3991,1.0542,0.2187,0.4369,0.169,7,9,2,3,5,0.5084,-1.2829,0.0335,-2.3247
"Agrostis capillaris",0.521,0.8638,0.299,0.5758,0.2949,7,4,4,4,5,0.2998,0.1366,-0.8867,-1.5727
"Agrostis gigantea",0.5777,1.0892,0.2002,0.538,0.3058,7,6,6,7,5,0.3954,0.0856,0.8416,-0.0447
"Agrostis stolonifera",0.4793,1.235,0.3458,0.4579,0.2176,7,7,4.5,5,5,0.5415,-0.8059,-0.0819,-0.9436
"Agrostis vinealis",0.4482,0.998,0.2987,0.272,0.2517,8,3,2,3,6,0.2038,-0.1039,-1.9044,-1.8557
"Ailanthus altissima",0.7568,0.3308,0.1939,0.1462,0.2805,7,5,7,7,8,-0.7979,1.2237,0.3425,1.4053
